symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-01-17 00:00:00+00:00,318.73,318.74,315.0,316.27,34454117,77.3372374885,77.339663907,76.4321833805,76.7403385326,137816468,0.0,1.0
AAPL,2020-01-21 00:00:00+00:00,316.57,319.02,316.0,317.19,27235039,76.8131310882,77.4076036256,76.6748252325,76.9635690364,108940156,0.0,1.0
AAPL,2020-01-22 00:00:00+00:00,317.7,319.99,317.31,318.58,25458115,77.0873163809,77.642966222,76.9926860587,77.3008412107,101832460,0.0,1.0
AAPL,2020-01-23 00:00:00+00:00,319.23,319.56,315.65,317.92,26117993,77.4585584145,77.5386302257,76.5899005843,77.1406975884,104471972,0.0,1.0
AAPL,2020-01-24 00:00:00+00:00,318.31,323.33,317.52,320.25,36634380,77.2353279107,78.4533900077,77.0436408476,77.7060531036,146537520,0.0,1.0
AAPL,2020-01-27 00:00:00+00:00,308.95,311.77,304.88,310.06,40485005,74.9642001759,75.6484501986,73.9766478383,75.2335326317,161940020,0.0,1.0
AAPL,2020-01-28 00:00:00+00:00,317.69,318.4,312.19,312.6,40558486,77.0848899624,77.2571656773,75.7503597764,75.8498429357,162233944,0.0,1.0
AAPL,2020-01-29 00:00:00+00:00,324.34,327.85,321.38,324.45,54149928,78.6984582782,79.5501311788,77.9802383963,78.725148882,216599712,0.0,1.0
AAPL,2020-01-30 00:00:00+00:00,323.87,324.09,318.75,320.54,31685808,78.5844166078,78.6377978152,77.3420903255,77.7764192406,126743232,0.0,1.0
AAPL,2020-01-31 00:00:00+00:00,309.51,322.68,308.29,320.93,49897096,75.1000796131,78.2956728039,74.8040565536,77.8710495629,199588384,0.0,1.0
AAPL,2020-02-03 00:00:00+00:00,308.66,313.49,302.22,304.3,43496401,74.8938340389,76.065794184,73.331220512,73.8359155641,173985604,0.0,1.0
AAPL,2020-02-04 00:00:00+00:00,318.85,319.64,313.63,315.31,34154134,77.3663545107,77.5580415738,76.0997640433,76.5074023547,136616536,0.0,1.0
AAPL,2020-02-05 00:00:00+00:00,321.45,324.76,318.95,323.52,29706718,77.997223326,78.8003678561,77.3906186959,78.4994919596,118826872,0.0,1.0
AAPL,2020-02-06 00:00:00+00:00,325.21,325.22,320.26,322.57,26356385,78.9095566895,78.911983108,77.7084795221,78.2689822002,105425540,0.0,1.0
AAPL,2020-02-07 00:00:00+00:00,320.03,323.4,318.0,322.37,29421012,77.8395061222,78.6591765769,77.3457580441,78.408654153,117684048,0.77,1.0
AAPL,2020-02-10 00:00:00+00:00,321.55,321.55,313.85,314.18,27337215,78.2092091166,78.2092091166,76.336371579,76.4166360449,109348860,0.0,1.0
AAPL,2020-02-11 00:00:00+00:00,319.61,323.9,318.71,323.6,23580780,77.7373513474,78.780789404,77.5184482586,78.7078217077,94323120,0.0,1.0
AAPL,2020-02-12 00:00:00+00:00,327.2,327.22,321.47,321.47,28432573,79.583434063,79.588298576,78.1897510642,78.1897510642,113730292,0.0,1.0
AAPL,2020-02-13 00:00:00+00:00,324.87,326.22,323.35,324.19,23686892,79.0167182886,79.3450729218,78.6470152942,78.8513248437,94747568,0.0,1.0
AAPL,2020-02-14 00:00:00+00:00,324.95,325.98,322.85,324.74,20028447,79.0361763409,79.2866987648,78.5254024671,78.9850989536,80113788,0.0,1.0
AAPL,2020-02-18 00:00:00+00:00,319.0,319.75,314.61,315.36,38190545,77.5889836983,77.771402939,76.5212230762,76.7036423169,152762180,0.0,1.0
AAPL,2020-02-19 00:00:00+00:00,323.62,324.57,320.0,320.0,23495991,78.7126862208,78.9437505923,77.8322093525,77.8322093525,93983964,0.0,1.0
AAPL,2020-02-20 00:00:00+00:00,320.3,324.65,318.21,322.63,25141489,77.9051770488,78.9632086447,77.3968354315,78.4718928231,100565956,0.0,1.0
AAPL,2020-02-21 00:00:00+00:00,313.05,320.45,310.5,318.62,32426415,76.1417910556,77.9416608969,75.5215656374,77.4965579497,129705660,0.0,1.0
AAPL,2020-02-24 00:00:00+00:00,298.18,304.18,289.23,297.26,55548828,72.5250255773,73.9843795027,70.348155972,72.3012579754,222195312,0.0,1.0
AAPL,2020-02-25 00:00:00+00:00,288.08,302.53,286.13,300.95,57668364,70.0684464696,73.5830571732,69.5941564439,73.1987606395,230673456,0.0,1.0
AAPL,2020-02-26 00:00:00+00:00,292.65,297.88,286.5,286.53,49678431,71.1799877094,72.452057881,69.6841499359,69.6914467056,198713724,0.0,1.0
AAPL,2020-02-27 00:00:00+00:00,273.52,286.0,272.96,281.1,80151381,66.5270809441,69.5625371088,66.3908745777,68.3707314031,320605524,0.0,1.0
AAPL,2020-02-28 00:00:00+00:00,273.36,278.41,256.37,257.26,106721230,66.4881648394,67.7164543932,62.3557609741,62.5722318063,426884920,0.0,1.0
AAPL,2020-03-02 00:00:00+00:00,298.81,301.44,277.72,282.28,85349339,72.6782577395,73.3179412101,67.5486286918,68.6577376751,341397356,0.0,1.0
AAPL,2020-03-03 00:00:00+00:00,289.32,304.0,285.8,303.67,79868852,70.3700462809,73.9405988849,69.513891978,73.860334419,319475408,0.0,1.0
AAPL,2020-03-04 00:00:00+00:00,302.74,303.4,293.13,296.44,54794568,73.6341345606,73.7946634924,71.2967360235,72.1018129389,219178272,0.0,1.0
AAPL,2020-03-05 00:00:00+00:00,292.92,299.55,291.41,295.52,46893219,71.2456586361,72.8582447236,70.8783878982,71.8780453371,187572876,0.0,1.0
AAPL,2020-03-06 00:00:00+00:00,289.03,290.82,281.23,282.0,56544246,70.2995108411,70.7348847622,68.4023507382,68.5896344919,226176984,0.0,1.0
AAPL,2020-03-09 00:00:00+00:00,266.17,278.09,263.0,263.75,71686208,64.7393723855,67.6386221839,63.9683470616,64.1507663023,286744832,0.0,1.0
AAPL,2020-03-10 00:00:00+00:00,285.34,286.44,269.37,277.14,71322520,69.402008177,69.6695563967,65.517694479,67.4075578124,285290080,0.0,1.0
AAPL,2020-03-11 00:00:00+00:00,275.43,281.22,271.86,277.39,64094970,66.9916419436,68.3999184816,66.1233263581,67.4683642259,256379880,0.0,1.0
AAPL,2020-03-12 00:00:00+00:00,248.23,270.0,248.0,255.94,104618517,60.3759041487,65.6709266412,60.3199622482,62.2511739428,418474068,0.0,1.0
AAPL,2020-03-13 00:00:00+00:00,277.97,279.92,252.95,264.89,92683032,67.6094351054,68.0837251311,61.5239292366,64.4280435481,370732128,0.0,1.0
AAPL,2020-03-16 00:00:00+00:00,242.21,259.08,240.0,241.95,80605865,58.9116857102,63.014902497,58.3741570144,58.8484470401,322423460,0.0,1.0
AAPL,2020-03-17 00:00:00+00:00,252.86,257.61,238.4,247.51,81013965,61.5020389277,62.6573607853,57.9849959676,60.2007816776,324055860,0.0,1.0
AAPL,2020-03-18 00:00:00+00:00,246.67,250.0,237.12,239.77,75058406,59.9964721281,60.8064135567,57.6736671302,58.3182151139,300233624,0.0,1.0
AAPL,2020-03-19 00:00:00+00:00,244.78,252.84,242.61,247.39,67964255,59.5367756416,61.4971744147,59.0089759719,60.1715945991,271857020,0.0,1.0
AAPL,2020-03-20 00:00:00+00:00,229.24,251.83,228.0,247.18,100423346,55.7570489749,61.2515165039,55.4554491637,60.1205172117,401693384,0.0,1.0
AAPL,2020-03-23 00:00:00+00:00,224.37,228.5,212.61,228.08,84188208,54.5725400388,55.5770619908,51.7122063451,55.474907216,336752832,0.0,1.0
AAPL,2020-03-24 00:00:00+00:00,246.88,247.69,234.3,236.36,71882773,60.0475495155,60.2445622954,56.9877707853,57.488815633,287531092,0.0,1.0
AAPL,2020-03-25 00:00:00+00:00,245.52,258.25,244.3,250.75,75900510,59.7167626257,62.813025204,59.4200273276,60.9888327973,303602040,0.0,1.0
AAPL,2020-03-26 00:00:00+00:00,258.44,258.68,246.36,246.52,63140169,62.8592380783,62.9176122353,59.9210721753,59.95998828,252560676,0.0,1.0
AAPL,2020-03-27 00:00:00+00:00,247.74,255.87,247.05,252.75,51054153,60.2567235781,62.234148147,60.0888978767,61.4752841058,204216612,0.0,1.0
AAPL,2020-03-30 00:00:00+00:00,254.81,255.52,249.4,250.74,41994110,61.9763289535,62.149019168,60.6604781641,60.9864005408,167976440,0.0,1.0
AAPL,2020-03-31 00:00:00+00:00,254.29,262.49,252.0,255.6,49250501,61.8498516133,63.844301978,61.2928648651,62.1684772203,197002004,0.0,1.0
AAPL,2020-04-01 00:00:00+00:00,240.91,248.72,239.13,246.5,44054638,58.5954923597,60.4950847192,58.1625506952,59.9551237669,176218552,0.0,1.0
AAPL,2020-04-02 00:00:00+00:00,244.93,245.15,236.9,240.34,41483493,59.5732594897,59.6267691337,57.6201574863,58.4568537368,165933972,0.0,1.0
AAPL,2020-04-03 00:00:00+00:00,241.41,245.7,238.97,242.8,32470017,58.7171051869,59.7605432435,58.1236345905,59.0551888462,129880068,0.0,1.0
AAPL,2020-04-06 00:00:00+00:00,262.47,263.11,249.38,250.9,50455071,63.8394374649,63.9951018836,60.655613651,61.0253166455,201820284,0.0,1.0
AAPL,2020-04-07 00:00:00+00:00,259.43,271.7,259.0,270.8,50721831,63.100031476,66.0844102534,62.9954444447,65.8655071646,202887324,0.0,1.0
AAPL,2020-04-08 00:00:00+00:00,266.07,267.37,261.23,262.74,42223821,64.7150498201,65.0312431706,63.5378376536,63.9051083915,168895284,0.0,1.0
AAPL,2020-04-09 00:00:00+00:00,267.99,270.07,264.7,268.7,40529123,65.1820430762,65.687952437,64.3818306738,65.3547332907,162116492,0.0,1.0
AAPL,2020-04-13 00:00:00+00:00,273.25,273.7,265.83,268.31,32755731,66.4614100174,66.5708615618,64.6566756631,65.2598752855,131022924,0.0,1.0
AAPL,2020-04-14 00:00:00+00:00,287.05,288.25,278.05,280.0,48748672,69.8179240458,70.1097948308,67.6288931577,68.1031831835,194994688,0.0,1.0
AAPL,2020-04-15 00:00:00+00:00,284.43,286.33,280.63,282.4,32788641,69.1806728317,69.6428015747,68.2564153456,68.6869247536,131154564,0.0,1.0
